,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
7524,7525,XES,SPDR S&P Oil & Gas Equipment & Services ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,8.83,-16.8,9.08,-43.67,6.66,,0.31,2.67,3.13,7.42,-3.48,-18.76,-24.03,14.0,-45.93,18.13,56.45,2.02,0.43,,1270000.0,0.57,9.61,2.45,724172.0,-,,6/22/2006
7525,7526,XFLT,XAI Octagon Floating Rate & Alternative Income Term Trust,Financial,Closed-End Fund - Debt,USA,,,,,,,,,9.04,,,,,,,,,,,,12.45,,10.96,,,0.05,,,,,,,,,,,-1.4,-1.29,5.76,26.1,0.55,25.58,,0.17,2.04,1.82,-2.14,1.14,3.67,-5.17,7.62,-14.78,31.9,47.26,-0.97,0.65,,56380.0,0.43,9.18,-0.33,24284.0,-,,10/9/2017
7526,7527,XFOR,"X4 Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,194550000.0,,,,55.59,0.88,8.72,,,,-20.25,-26.7,14.4,,,,-49.6,,12970000.0,12010000.0,2.0,,15.7,-7.2,1.69,3.4,-87.0,-150.3,-155.5,1.6,1.6,0.46,0.64,,,,-3.23,-2.09,-13.84,-0.79,-86.26,7.76,,1.46,9.24,9.51,2.02,-12.73,-3.9,-33.33,10.29,-66.17,117.39,43.66,-3.85,-0.38,1.7,59580.0,14.85,15.0,-4.21,719220.0,-,24.67,11/16/2017
7527,7528,XHB,SPDR S&P Homebuilders ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,7.04,8.12,28.6,6.25,28.17,,0.64,1.4,1.44,2.49,3.06,11.37,-0.37,9.14,-0.37,36.39,59.55,0.9,0.27,,2570000.0,0.67,41.68,1.17,1741345.0,-,,2/6/2006
7528,7529,XHE,SPDR S&P Health Care Equipment ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,8.26,1.84,19.69,4.82,16.78,,1.1,1.21,1.29,3.44,5.34,4.99,-1.0,12.33,-8.13,27.78,63.7,1.25,0.12,,63170.0,0.46,81.83,1.38,29527.0,-,,1/27/2011
7529,7530,XHR,"Xenia Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,2360000000000.0,15.34,31.03,,2.17,1.3,31.74,,5.28,,1.36,89.3,1.97,44.6,,10.2,-71.3,11.0,113400000.0,112360000.0,0.23,0.0,92.2,13.67,7.63,7.44,,,4.2,,,0.64,0.64,57.9,,,-0.52,-1.6,-4.84,21.43,-15.24,21.22,1.04,0.49,3.05,2.15,-1.19,-3.42,1.32,-10.63,2.63,-16.87,26.59,45.54,-0.95,0.29,2.4,1150000.0,1.29,20.85,-0.67,1535914.0,Aug 01/b,23.0,2/4/2015
7530,7531,XHS,SPDR S&P Health Care Services ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,6.53,3.24,7.15,-5.8,6.38,,0.82,0.88,1.03,2.65,3.67,-2.41,-0.58,11.75,-13.92,11.75,61.75,1.11,0.23,,10530.0,0.38,66.58,1.33,4043.0,-,,9/29/2011
7531,7532,XIN,"Xinyuan Real Estate Co., Ltd.",Financial,Real Estate Development,China,248000000.0,3.1,,,0.1,0.18,0.33,,9.57,,1.35,17.0,,-7.8,,19.8,511.8,169.3,59330000.0,32860000.0,,,10.3,-18.3,0.77,2.24,,,5.1,1.3,0.4,2.36,4.99,28.2,,,-2.56,-7.11,-14.17,10.0,-13.46,10.0,1.68,0.15,3.01,3.21,-3.87,-4.94,-6.08,-11.97,3.47,-18.04,16.11,41.24,0.0,0.97,,112240.0,0.57,4.18,0.97,65630.0,May 23/b,9.87,12/12/2007
7532,7533,XITK,SPDR FactSet Innovative Technology ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,4.14,1.16,28.97,14.47,27.74,,1.61,1.09,1.31,2.43,1.04,8.79,-3.86,9.6,-3.86,38.93,54.46,0.33,0.51,,7780.0,0.45,105.65,0.84,3520.0,-,,1/14/2016
7533,7534,XKCP,SPDR Kensho Clean Power ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,7.88,12.8,26.57,,31.12,,0.59,1.4,1.41,2.97,5.4,12.64,-1.89,9.25,-1.89,38.35,61.61,-1.89,0.78,,4040.0,5.05,37.62,-1.13,23424.0,-,,10/23/2018
7534,7535,XKFF,SPDR Kensho Final Frontiers ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,6.54,11.92,26.93,,28.66,,0.31,0.21,0.42,3.39,4.33,11.63,-1.03,7.71,-1.03,38.45,65.36,-0.29,-0.01,,830.0,3.33,33.28,-0.31,6348.0,-,,10/23/2018
7535,7536,XKFS,SPDR Kensho Future Security ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,4.33,7.59,26.15,9.29,27.01,,0.43,0.78,0.76,2.29,1.95,8.89,-1.69,7.23,-1.69,35.69,57.54,-0.42,-0.09,,4650.0,0.57,37.14,-0.51,2628.0,-,,12/27/2017
7536,7537,XKII,SPDR Kensho Intelligent Structures ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,4.54,7.07,17.87,2.43,21.18,,0.28,0.49,0.48,2.14,1.36,4.04,-2.11,6.28,-7.07,27.82,57.63,-0.79,0.29,,1220.0,0.7,29.65,-0.5,859.0,-,,12/27/2017
7537,7538,XKST,SPDR Kensho Smart Mobility ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,6.18,1.18,14.9,-9.3,17.38,,0.35,0.79,0.7,2.9,-0.88,-1.42,-8.67,8.67,-13.46,22.55,54.35,-1.47,0.73,,1240.0,1.32,27.4,-0.76,1635.0,-,,12/27/2017
7538,7539,XLB,Materials Select Sector SPDR Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,9.65,5.41,16.14,1.47,15.8,,0.64,0.73,1.07,2.35,4.25,6.59,0.0,11.39,-4.35,24.34,62.95,0.69,0.16,,7100000.0,0.7,58.5,0.84,5008512.0,-,,12/22/1998
7539,7540,XLC,Communication Services Select Sector SPDR Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36,2.91,5.24,19.03,0.24,19.23,,0.63,1.15,1.25,2.56,1.13,5.88,-4.13,8.63,-5.55,26.3,56.62,0.7,0.27,,3680000.0,1.68,49.22,0.96,6084861.0,-,,6/19/2018
7540,7541,XLE,Energy Select Sector SPDR Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,6.5,-3.64,10.82,-15.69,11.09,,0.99,1.22,1.3,3.39,0.66,-3.14,-7.41,8.41,-18.7,19.4,57.49,0.92,0.24,,13870000.0,1.26,63.71,1.16,17369740.0,-,,12/22/1998
7541,7542,XLF,Financial Select Sector SPDR Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,4.51,7.35,16.95,4.7,15.87,,0.35,1.09,1.21,1.99,1.56,4.45,-1.92,6.48,-5.06,25.17,57.99,0.25,1.18,,48100000.0,1.61,27.6,1.43,76728104.0,-,,12/22/1998
7542,7543,XLG,Invesco S&P 500 Top 50 ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.19,4.5,3.42,17.88,9.63,16.69,,1.82,0.61,0.78,1.58,1.28,5.34,-1.71,7.95,-1.71,25.0,55.35,-0.06,0.35,,33640.0,0.46,209.83,0.29,15640.0,-,,5/10/2005
7543,7544,XLI,Industrial Select Sector SPDR Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,5.98,3.19,21.08,8.46,20.2,,0.83,0.76,1.01,2.42,2.02,5.35,-1.94,7.66,-3.72,29.21,59.25,0.91,0.14,,11520000.0,0.97,77.42,1.06,11152333.0,-,,12/22/1998
7544,7545,XLK,Technology Select Sector SPDR Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,6.74,5.46,26.81,13.66,25.91,,1.05,0.93,1.28,2.42,2.36,9.86,-2.08,11.26,-2.08,35.56,56.45,-0.32,0.31,,13430000.0,1.33,78.04,-0.01,17783356.0,-,,12/22/1998
7545,7546,XLNX,"Xilinx, Inc.",Technology,Semiconductor - Integrated Circuits,USA,29670000000000.0,34.61,27.05,2.74,9.7,10.44,9.34,46.5,1.26,40.9,3.41,31.0,10.52,9.3,12.64,5.1,-36.2,29.8,251570000.0,247620000.0,0.21,-1.47,88.4,-3.68,2.43,1.36,17.2,34.7,21.1,8.2,7.5,0.43,0.43,68.8,31.3,29.1,5.15,11.83,-7.0,39.88,82.85,38.45,1.27,3.42,2.73,2.82,7.94,4.23,15.4,-16.72,20.72,-16.72,83.82,61.14,-0.33,0.11,2.4,4420000.0,1.03,117.92,-0.22,4525019.0,Jul 24/a,127.66,6/18/1990
7546,7547,XLP,Consumer Staples Select Sector SPDR Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.11,2.94,3.49,14.83,12.63,14.36,,0.56,0.73,0.86,-0.37,0.87,5.65,-2.29,4.59,-2.29,20.15,49.13,-0.55,0.48,,12830000.0,0.97,58.07,-0.07,12409320.0,-,,12/22/1998
7547,7548,XLRE,The Real Estate Select Sector SPDR Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.65,1.66,1.52,19.27,13.8,18.61,,0.49,1.41,1.2,-1.59,0.54,7.34,-4.79,5.59,-4.79,24.56,45.66,0.16,0.16,,3790000.0,1.33,36.77,0.33,5010567.0,-,,10/8/2015
7548,7549,XLRN,Acceleron Pharma Inc.,Healthcare,Biotechnology,USA,2160000000000.0002,,,,159.69,4.11,4.93,,,,-2.76,3.5,33.6,9.0,,-24.6,-29.2,-12.5,52480000.0,45040000.0,13.9,9.4,94.0,10.26,10.1,14.43,-33.4,-35.9,-42.6,19.3,19.3,0.0,0.0,,,,2.24,0.96,-11.79,-3.64,22.19,-5.67,1.21,1.45,3.3,3.56,4.11,1.29,-10.33,-5.43,11.0,-31.06,26.28,55.53,0.39,0.0,2.0,315120.0,2.54,41.08,0.39,776403.0,Aug 08/a,61.55,9/19/2013
7549,7550,XLU,Utilities Select Sector SPDR Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.23,2.85,2.51,13.15,14.89,12.68,,0.8,1.16,1.37,-0.71,1.18,6.46,-2.85,5.24,-2.85,17.36,48.5,0.35,0.03,,17100000.0,0.93,59.63,0.39,16133243.0,-,,12/22/1998
7550,7551,XLV,Health Care Select Sector SPDR Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.16,5.38,0.97,8.8,11.37,7.09,,0.99,1.01,0.96,1.47,3.43,2.43,-1.79,9.44,-3.56,14.92,59.63,0.29,0.04,,13150000.0,0.72,92.64,0.34,9390623.0,-,,12/22/1998
7551,7552,XLY,Consumer Discretionary Select Sector SPDR Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,6.04,4.7,21.69,10.11,20.39,,1.25,0.73,1.0,2.03,1.92,7.55,-1.41,8.93,-1.41,29.95,58.24,0.13,0.15,,4170000.0,1.59,119.2,0.29,6663696.0,-,,12/22/1998
7552,7553,XME,SPDR S&P Metals and Mining ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,14.76,-4.38,7.54,-19.74,8.36,,0.59,1.77,1.95,6.77,4.09,-4.08,-6.4,17.03,-25.08,17.03,64.57,1.54,0.22,,2360000.0,0.75,28.38,1.76,1762826.0,-,,6/22/2006
7553,7554,XMLV,Invesco S&P MidCap Low Volatility ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,3.3,3.22,16.73,9.88,15.5,,0.48,1.0,0.87,0.17,0.81,5.65,-2.03,4.14,-2.03,21.76,51.77,0.71,0.32,,357660.0,0.67,51.27,1.02,239122.0,-,,2/15/2013
7554,7555,XMPT,VanEck Vectors CEF Municipal Income ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,1.58,3.35,13.52,6.98,12.9,,0.11,0.49,0.39,0.94,1.97,7.22,0.11,4.67,0.11,17.17,72.67,-0.11,0.52,,37730.0,0.79,26.96,0.41,29803.0,-,,7/13/2011
7555,7556,XMX,WisdomTree Global ex-Mexico Equity Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,3.25,4.75,3.45,6.44,14.64,,0.27,0.04,0.16,2.39,1.64,2.82,-1.13,5.7,-3.61,20.11,59.28,-0.19,-0.56,,650.0,0.74,29.91,-0.75,496.0,-,,2/10/2017
7556,7557,XNCR,"Xencor, Inc.",Healthcare,Biotechnology,USA,2280000000000.0,63.36,,,14.97,3.78,6.7,,,0.0,0.65,-223.5,-3975.0,-17.5,,31.9,323.4,,55760000.0,48810000.0,13.4,0.98,85.9,0.44,6.46,11.62,6.4,7.2,-15.2,6.7,6.7,0.0,0.0,,19.3,25.6,16.41,28.99,31.78,18.57,8.86,13.19,1.4,1.71,5.78,4.51,22.75,24.61,17.26,-3.31,41.09,-15.4,47.5,74.77,1.01,0.05,1.7,271300.0,6.74,40.93,1.06,1668124.0,Aug 08/a,43.64,12/3/2013
7557,7558,XNET,Xunlei Limited,Technology,Application Software,China,168600000.0,,,,0.87,0.52,0.56,,,,-0.83,9.1,,-21.3,19.0,14.3,-228.7,-47.6,64349999.99999999,64010000.00000001,0.39,0.0,12.9,-45.72,1.57,1.5,-11.7,-15.4,-12.8,3.3,3.2,0.02,0.02,50.9,-33.9,-28.9,-5.07,5.65,-28.42,-25.14,-76.42,-22.94,1.88,0.18,8.62,7.34,7.71,-9.58,-40.09,-28.32,31.79,-79.21,31.79,48.92,3.97,0.8,,667950.0,0.44,2.62,4.8,293030.0,Aug 12/b,12.0,6/24/2014
7558,7559,XNTK,SPDR NYSE Technology ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.95,1.99,23.14,2.39,22.04,,1.03,0.87,1.24,3.13,0.98,6.72,-5.02,11.1,-5.02,34.56,55.45,-0.48,0.61,,30410.0,0.38,72.65,0.12,11481.0,-,,9/25/2017
7559,7560,XOG,"Extraction Oil & Gas, Inc.",Basic Materials,Independent Oil & Gas,USA,698600000.0,15.25,16.22,0.51,0.66,0.45,6.19,1.02,,0.0,0.28,214.3,1450.0,230.9,30.0,239.4,-86.0,-3.6,161340000.0,120530000.0,3.3,-0.56,,-8.47,32.51,7.5,1.3,3.1,7.9,0.6,0.5,0.88,0.88,84.5,26.5,4.9,4.09,25.51,2.36,-3.13,-71.08,0.93,,0.27,6.4,6.94,14.92,4.72,-24.11,-23.63,34.42,-72.42,37.9,59.64,-0.23,1.17,2.4,5220000.0,2.65,4.33,0.93,13580520.0,Aug 01/a,7.38,10/12/2016
7560,7561,XOM,Exxon Mobil Corporation,Basic Materials,Major Integrated Oil & Gas,USA,327210000000000.0,17.66,14.28,1.44,1.19,1.71,71.35,824.21,4.54,75.5,4.34,48.8,36.01,-8.2,12.28,-7.9,-49.5,-5.8,4269999999999.9995,4230000000000.0005,0.09,-0.16,56.7,1.67,0.83,3.21,5.3,9.8,4.8,0.8,0.5,0.1,0.21,30.4,6.8,6.7,-1.36,6.47,-5.16,11.15,-6.22,12.38,0.97,1.08,1.16,1.22,2.38,0.29,-1.61,-8.22,8.49,-12.28,18.53,54.93,0.58,0.49,2.7,10930000.0,1.36,76.63,1.07,14781298.0,Jul 26/b,85.08,1/2/1970
7561,7562,XOMA,XOMA Corporation,Healthcare,Biotechnology,USA,128840000.0,,,,9.91,5.38,2.66,,,,-0.93,-318.9,-31.2,43.8,19.0,-31.6,145.3,1656.2,8670000.0,8119999.999999999,9.6,3.45,53.7,-1.92,13.71,15.35,-13.5,-62.7,-40.6,7.2,7.2,0.87,0.94,,-75.2,-59.0,-10.64,-18.26,20.03,22.3,-29.0,17.47,1.33,1.18,6.72,7.33,-12.43,-4.03,2.46,-23.83,28.32,-42.82,34.86,42.6,0.88,-0.2,,72490.0,14.13,14.86,0.68,845496.0,Aug 05/b,27.5,4/5/1989
7562,7563,XON,Intrexon Corporation,Healthcare,Biotechnology,USA,1230000000000.0,,,,8.51,3.74,6.75,,,,-3.93,69.5,-5.8,-22.9,39.0,46.5,-10.8,-41.3,160130000.0,135680000.0,0.6,,76.4,3.03,26.31,13.07,-64.8,-118.7,-84.2,3.9,3.6,0.81,0.83,56.1,,,1.19,59.25,45.63,13.48,-42.23,17.13,2.2,0.46,6.14,7.36,14.5,42.65,-8.72,-12.66,93.92,-61.58,93.92,67.26,0.52,-0.13,3.0,2730000.0,1.34,7.66,0.39,3606530.0,Aug 08/a,9.67,8/8/2013
7563,7564,XONE,The ExOne Company,Industrial Goods,Diversified Machinery,USA,134580000.0,,36.55,,2.16,2.61,24.92,,,,-0.67,37.2,247.1,-8.8,46.49,10.4,30.1,-19.3,14440000.0,11190000.0,2.0,3.59,31.6,30.48,18.13,16.9,-13.3,-17.9,-20.5,2.2,1.0,0.02,0.02,33.6,-18.9,-17.3,22.63,15.2,9.78,46.08,28.2,40.79,3.42,0.41,7.86,5.48,23.47,15.05,8.9,2.32,37.26,-20.55,62.54,71.36,12.02,1.09,,120030.0,10.43,9.32,13.24,1088934.0,Aug 08/b,12.0,2/7/2013
7564,7565,XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,4.17,-11.35,1.87,-36.69,2.71,,0.75,1.96,2.42,5.08,-3.56,-15.09,-18.17,10.49,-40.04,14.06,54.32,1.3,0.49,,23060000.0,1.16,27.25,1.79,26689288.0,-,,6/22/2006
7565,7566,XPER,Xperi Corporation,Technology,Semiconductor Equipment & Materials,USA,1000000000000.0,428.96,8.02,28.6,2.52,1.7,9.31,9.83,3.89,447.7,0.05,89.6,3.09,29.3,15.0,19.2,23.1,-13.6,48590000.0,48410000.0,2.1,0.0,97.9,-1.04,7.95,8.65,0.7,1.3,0.8,8.5,8.5,0.73,0.0,96.7,6.7,1.9,5.92,-1.86,-12.01,11.0,30.32,11.96,0.35,0.56,2.79,2.82,1.75,-7.88,5.5,-20.32,8.88,-20.32,70.45,47.78,0.54,0.89,1.7,444730.0,2.2,20.59,1.43,957899.0,Aug 07/a,32.0,12/12/2016
7566,7567,XPH,SPDR S&P Pharmaceuticals ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,7.07,-4.21,10.0,-6.39,8.77,,0.66,1.58,1.41,4.91,2.57,-3.85,-3.68,9.12,-20.29,15.42,61.59,0.78,0.41,,54490.0,0.98,39.83,1.19,52996.0,-,,6/22/2006
7567,7568,XPL,Solitario Zinc Corp.,Basic Materials,Industrial Metals & Minerals,USA,19820000.0,,,,22.02,0.7,1.74,,,,-0.05,-214.1,,-1.4,,10.8,55.9,,61880000.0,48690000.0,16.25,0.0,5.2,-5.93,0.1,0.96,-10.7,-10.9,,16.2,16.2,0.0,0.0,,,,-8.49,-5.74,-24.46,45.46,-16.37,37.88,1.49,0.02,7.85,7.07,-2.24,-9.49,-2.43,-24.64,14.39,-40.69,68.58,42.86,-8.22,2.65,,48740.0,1.68,0.32,-5.79,83314.0,Aug 07,1.0,9/6/2006
7568,7569,XPO,"XPO Logistics, Inc.",Services,Air Delivery & Freight Services,USA,5060000000000.0,20.98,13.0,0.82,0.29,2.58,13.47,10.33,,0.0,2.76,164.1,23.15,26.8,25.55,89.8,-26.7,-1.7,87580000.0,87580000.0,0.1,0.0,,-8.73,13.91,7.41,2.8,10.6,7.1,1.1,1.1,2.24,2.28,48.4,3.9,2.1,5.03,11.17,7.57,3.25,-41.57,1.35,2.32,2.13,3.87,3.62,5.43,-1.54,-15.4,-16.57,14.45,-50.28,40.83,53.39,4.56,0.42,1.8,1640000.0,2.15,57.81,4.99,3519255.0,Jul 31/a,79.63,10/7/2003
7569,7570,XPP,ProShares Ultra FTSE China 50,Financial,Exchange Traded Fund,USA,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,12.62,-7.23,17.78,-0.73,17.44,,1.41,0.72,1.27,7.82,3.55,2.99,-13.03,16.01,-13.44,25.24,58.3,0.04,-0.18,,12790.0,0.15,66.62,-0.14,1932.0,-,,6/4/2009
7570,7571,XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,USA,13480000000000.0,,21.91,,3.39,2.55,59.82,62.69,0.6,,-4.68,32.1,13.07,-32.6,9.18,6.2,-49.2,-1.0,231050000.0,231050000.0,0.3,-19.88,94.3,-2.76,1.96,2.72,-12.1,-20.5,-15.0,2.1,1.4,0.3,0.31,51.6,-24.6,-26.5,-0.88,9.08,17.69,57.22,32.76,56.84,0.98,0.98,1.81,1.68,3.07,7.24,32.02,-1.75,20.35,-1.75,72.0,69.03,1.21,0.05,2.2,1660000.0,1.36,58.36,1.27,2231739.0,Aug 02/b,58.85,4/25/1991
7571,7572,XRF,China Rapid Finance Limited,Financial,Credit Services,China,32939999.999999996,,,,0.34,2.29,0.84,,,,-0.85,-242.5,85.7,,,,-150.4,-35.3,65360000.0,64060000.0,42.18,,10.2,-6.23,1.87,2.25,-73.3,-244.5,-63.0,,,0.0,0.0,,-84.9,-84.2,-7.84,-2.14,-54.59,-52.45,-79.17,-50.59,,0.09,13.84,18.95,8.98,-15.61,-64.36,-51.77,128.05,-83.45,128.05,48.43,14.55,-5.4,5.0,530030.0,0.13,0.5,8.36,67108.0,Jul 12/a,1.2,4/28/2017
7572,7573,XRLV,Invesco S&P 500 ex-Rate Sensitive Low Volatility ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26,5.11,5.98,20.62,14.92,19.46,,0.28,0.56,0.62,1.34,3.07,8.55,-0.65,5.98,-0.65,27.09,60.67,0.44,0.22,,28270.0,0.32,38.6,0.66,9118.0,-,,4/9/2015
7573,7574,XRT,SPDR S&P Retail ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,4.39,-5.87,4.49,-13.71,3.37,,0.69,1.27,1.48,1.8,-1.43,-5.91,-8.15,7.06,-19.99,11.21,51.72,0.52,0.17,,5270000.0,1.06,42.37,0.69,5620811.0,-,,6/22/2006
7574,7575,XRX,Xerox Corporation,Technology,Information Technology Services,USA,7940000000000.0,17.18,8.57,1.9,0.83,1.61,10.98,10.08,2.82,52.6,2.06,-23.1,6.19,-13.5,9.06,-13.2,431.3,-9.4,224120000.0,215370000.0,0.3,0.0,90.9,0.4,3.5,3.21,3.0,8.9,4.9,1.5,1.2,0.85,0.96,40.1,6.7,4.8,0.43,12.2,10.73,79.93,44.47,79.2,1.75,0.64,1.46,1.81,3.27,6.41,22.27,-0.59,16.48,-0.59,90.63,62.36,-0.08,0.31,2.3,2350000.0,1.18,35.41,0.23,2775260.0,Jul 25/b,39.33,1/3/1977
7575,7576,XSD,SPDR S&P Semiconductor ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,12.78,7.46,31.56,17.72,30.4,,1.7,1.47,1.78,5.76,3.84,12.87,-6.14,16.02,-6.14,40.31,60.48,-0.46,0.84,,142380.0,0.83,84.37,0.38,118717.0,-,,2/6/2006
7576,7577,XSHD,Invesco S&P SmallCap High Dividend Low Volatility ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,3.81,-1.9,7.7,-8.55,7.49,,0.24,1.18,0.81,1.51,0.42,-1.87,-2.98,5.57,-13.14,12.05,56.05,0.73,0.43,,5380.0,0.86,23.72,1.16,4570.0,-,,12/8/2016
7577,7578,XSHQ,Invesco S&P SmallCap Quality ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,3.48,4.8,4.43,-8.14,8.78,,0.29,0.83,0.6,3.15,0.72,-1.24,-5.27,7.7,-16.41,17.41,56.99,1.33,0.25,,3520.0,0.88,27.28,1.59,3047.0,-,,4/11/2017
7578,7579,XSLV,Invesco S&P SmallCap Low Volatility ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,3.36,2.22,13.45,-0.68,12.52,,0.51,1.06,0.9,1.24,0.67,2.13,-2.66,4.6,-6.38,18.12,55.06,0.67,0.36,,267720.0,0.86,47.98,1.03,230412.0,-,,2/15/2013
7579,7580,XSOE,WisdomTree Emerging Markets ex-State-Owned Enterprises Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,6.71,0.14,13.29,0.42,12.95,,0.3,0.62,0.81,3.39,2.07,4.91,-4.85,8.37,-4.85,18.71,59.61,0.45,-0.52,,46770.0,3.33,28.87,-0.07,149092.0,-,,12/29/2014
7580,7581,XSPA,"XpresSpa Group, Inc.",Services,Personal Services,USA,4000000.0,,,,0.08,0.51,1.38,,,,-10.61,-449.2,,24.5,20.0,114.6,90.9,-3.2,2060000.0,1720000.0,1.9,,12.4,11.33,8.6,0.45,-47.1,-156.0,-194.9,0.3,0.2,0.0,1.17,22.0,-27.7,-32.7,-1.06,-2.02,-19.17,-32.12,-76.34,-37.82,0.47,0.61,50.85,21.22,1.66,-11.61,-38.16,-64.4,29.33,-77.94,29.33,48.93,-4.43,-0.98,,325230.0,0.86,1.94,-5.37,279211.0,May 15/a,18.0,12/11/2017
